"id","code","name","sequence"
"__export__.education_class_1_d1a78863","I","Class 1","1"
"__export__.education_class_2_8a4446be","II","Class 2","2"
"__export__.education_class_3_710c85ee","III","Class 3","3"
"__export__.education_class_4_0614aa18","IV","Class 4","4"
"__export__.education_class_5_3d299d3a","V","Class 5","5"
"__export__.education_class_6_83de9d6c","VI","Class 6","6"
"__export__.education_class_7_18380dde","VII","Class 7","7"
"__export__.education_class_8_6ebe08db","VIII","Class 8","8"
"__export__.education_class_9_b36d5076","IX","Class 9","9"
"__export__.education_class_10_d6bd3867","X","Class 10","10"
